CHEM21 Solvents,HTP(ingestion),HTP(ingestion)log10,HTP(Inhalation),HTP(Inhalation)log10,XVP,Flash Point (℃),Boiling Point (℃),Resistivity,Resistivitylog10,Peroxide formation,AIT,CGP,CGPlog10,CLP,Aquatic Toxicity (mg/L),Aquatic Toxicity (mg/L)log10,Vapour Pressure (mmHg),OH radical RC (cm/molecule s),Sustainability
Carban Tertachloride,0.000425532,-3.371067775,0.031796502,-1.497620655,,,77,2.50E+15,15.39794001,0,,0.01033181,-1.985823589,0.1125,41.4,1.617000341,115,1.20E-16,2
DCE,0.001492537,-2.826074894,0.024709661,-1.607133213,0.274193548,13,84,250000000,8.397940009,0,,0.224816256,-0.648172289,0.803571429,136,2.133538908,227,2.56E-13,2
Chlorobenzene,0.000900901,-3.045322931,0.021724962,-1.663040975,1.307692308,29,132,142860000,8.154910646,0,,0.013970983,-1.854773036,1.022727273,35.4,1.549003262,12,7.70E-13,1
Acetonitrile,0.000406504,-3.390935177,0.029779631,-1.526080688,0.386363636,2,82,16667000,7.221857435,0,524,0.020537125,-1.687460354,1.125,1000,3,89,2.63E-14,0
DMF,0.000357143,-3.447157858,0.033456005,-1.47552592,0.772727273,58,153,166670,5.221857435,0,435,0.089408528,-1.048621055,0.476694915,10700,4.029383778,3.87,1.80E-11,2
DMAc,0.000232558,-3.633468716,0.028066236,-1.551815827,0.944444444,70,166,,,0,345,0.014739229,-1.831525234,1.004464286,0.0015,-2.823908741,2,1.36E-11,2
NMP,0.000255493,-3.592620994,,,1.31,96,202,500000,5.698970004,0,346,0.102,-0.991399828,0.28125,,,0.34,7.40E-11,2
DMPU,0.000564972,-3.247973075,,,1.06,121,246,,,0,255,,,,,,,,1
DMSO,6.90E-05,-4.161368111,,,0.653846154,95,189,5000000,6.698970004,0,301,0.0976,-1.010550182,0.1875,0.034,-1.468521083,0.6,9.00E-11,0
Sulfolane,0.000649351,-3.187520486,,,,177,287,,,0,,0.043333333,-1.363177906,0.70754717,,,0.0062,1.30E-11,2
HMPA,0.000377358,-3.423246439,,,,144,200,,,0,,,,0.865384615,,,0.03,1.90E-10,2
Nitromethane,0.00106383,-2.973127767,0.020028039,-1.698361572,0.232876712,35,101,,,0,418,0.0363,-1.440093375,1.125,278,2.444044796,35.8,1.30E-13,2
Methoxy-ethanol,0.001123596,-2.949389816,,,0.68,42,125,10000,4,0,285,0.194975628,-0.710019672,1.7578125,,,,,2
Carbon disulfide,0.000833333,-3.07918142,0.321543408,-0.49276039,1.7,-30,46,1.00E+14,14,0,100,0.0000104,-4.982966661,,,,359,2.90E-12,2
Formic acid,0.000909091,-3.041392642,0.106269926,-0.973589622,0.094444444,49,101,,,0,528,0.002166667,-2.664207831,,,,42.6,4.50E-13,1
Acetic acid,0.000302115,-3.519827711,0.040716612,-1.390228366,0.425,39,118,1666700,6.221857435,0,427,0.013245033,-1.877946955,2.122641509,88,1.944482672,15.7,7.40E-13,1
Ac2O,0.000561798,-3.250419811,0.240384615,-0.619093331,0.586206897,49,139,,,0,316,0.124550898,-0.904653137,0.5625,,,5.1,8.40E-14,1
Pyridine,0.001122334,-2.94987788,0.308641975,-0.510545011,0.944444444,23,115,250000,5.397940009,0,482,0.00045614,-3.340901842,2.007136485,88,1.944482672,20.8,3.70E-13,0
TEA,0.002173913,-2.66275784,0.483091787,-0.315970346,1.416666667,-6,89,,,0,215,0.143,-0.844663963,3.947368421,44,1.643452676,57,9.30E-11,1
